,US Gasoline Prices,US GDP,oil_production_bbl,oil_total_liquids_consumption,oil_consumption_bbl,oil_consumption_light_distillates,oil_consumption_middle_distillates,oil_consumption_fuel_oil,oil_consumption_others,oil_crude_oil_prices,natural_gas_production_ej,natural_gas_consumption_ej,primary_energy_consumption,primary_energy_consumption_per_capital,carbon_dioxide_emissions_from_energy,coal_production_ej,coal_consumption_ej,nuclear_energy_generation_twh,nuclear_energy_consumption_ej,hydroelectricity_generation_twh,hydroelectricity_consumption_ej,renewables_consumption_ej,renewables_generation_ej
unit,USD,Billions of USD,thousand_barrels_daily,thousand_barrels_daily,thousand_barrels_daily,thousand_barrels_daily,thousand_barrels_daily,thousand_barrels_daily,thousand_barrels_daily,US_dollars_per_barrel,exajoules,exajoules,exajoules,gigajoule_per_capita,million_tonnes_of_carbon_dioxide,exajoules,exajoules,terawatt_hours,exajoules,terawatt_hours,exajoules,exajoules,exajoules
2007,2.8,14474.22691,6856.691781,20680.38053,20208.14321,9148.246575,6176.189781,717.8547945,4165.852055,72.38907843,18.78800005,22.46897913,97.42963246,323.5177415,5884.218845,23.54684011,22.80185938,848.8681611,8.29186742,243.0440626,2.474051355,1.786555286,1.18771835
2008,3.27,14769.85791,6783.35406,19497.96657,18848.28484,8623.08197,5781.003418,618.4016393,3825.797814,97.25597276,19.65842904,22.6400824,95.05985424,312.6860889,5700.862058,23.90630588,22.43899661,848.6404579,8.238154715,251.0538616,2.539713379,2.21760455,1.39961598
2009,2.35,14478.06493,7266.706959,18771.39822,18030.47037,8536.909595,5219.684063,507.6958904,3766.180822,61.67126482,20.0729704,22.23461209,90.37990957,294.679781,5289.244885,21.67352173,19.73655503,840.8995684,8.112621284,271.5330798,2.729929351,2.512111179,1.582818008
2010,2.79,15048.96444,7558.50311,19177.53941,18321.79437,8424.526888,5446.56063,532.4136986,3918.293151,79.4955336,20.70566809,23.33496423,93.42671476,302.083765,5485.723766,22.08898136,20.88194988,849.4403168,8.144742401,257.2746838,2.570710229,2.885927609,1.817543204
2011,3.53,15599.72812,7890.316589,18895.50738,17992.6221,8180.795474,5456.021145,458.9972603,3896.808219,111.2555976,22.22490768,23.69558918,92.61383499,297.1292014,5336.157012,22.27258423,19.70305706,831.7940705,7.926912415,316.0953414,3.139192327,3.248679544,2.091781819
2012,3.618,16253.97223,8931.265541,18482.35431,17581.03486,8094.108169,5214.773686,367.2814208,3904.871585,111.6697024,23.3684938,24.77242001,90.17231174,287.0098105,5089.147985,20.72451312,17.41825712,809.8223674,7.670751456,274.0300273,2.70494156,3.504625243,2.345498079
2013,3.505,16843.19099,10103.356,18966.51581,17991.99836,8263.173718,5258.6356,317.3424658,4152.846575,108.6585178,23.60493846,25.45282216,92.61989975,292.57413,5246.614128,20.0473682,18.08017705,830.5436558,7.819634692,266.5498485,2.615254926,3.992819937,2.713284884
2014,3.358,17550.68017,11806.64834,19100.46499,18111.09266,8286.631074,5519.204049,256.060274,4049.19726,98.94600791,25.37015336,26.0013764,93.58638498,293.2977511,5251.662107,20.3324242,18.03908163,839.1220863,7.853093506,255.7505798,2.494272122,4.302804719,3.004950195
2015,2.429,18206.02074,12783.33801,19531.63652,18499.20849,8503.361786,5533.931638,258.2438356,4203.671233,52.38675889,26.65091531,26.76886179,92.68932238,288.1969367,5137.47809,17.98742593,15.58467998,839.1346074,7.806465385,246.4531283,2.389289256,4.533437795,3.175476675
2016,2.143,18695.11084,12353.65917,19691.8964,18592.69487,8612.745022,5438.119249,325.4754098,4216.355191,43.73416996,26.18482001,26.96756183,92.60334522,285.7089158,5037.996685,14.70086819,14.25866811,848.0988926,7.843174527,263.7636626,2.541978875,5.130287954,3.657063907
2017,2.415,19477.33655,13139.89166,19951.92395,18845.18869,8620.626216,5580.277545,341.0328767,4303.252055,54.19244048,26.86214561,26.63972106,92.94851052,284.7863456,4978.762409,15.66136318,13.86933351,847.3154053,7.789835177,296.8064465,2.843597245,5.598032446,4.121839188
2018,2.719,20533.05731,15309.99171,20511.59234,19416.58825,8633.033463,5815.163008,316.8575342,4651.534247,71.31005976,30.27370216,29.58174019,96.34490275,293.4506713,5132.735255,15.39882493,13.28205107,849.5626074,7.76481953,289.514596,2.757515931,5.879746367,4.423112296
2019,2.604,21380.97612,17113.80073,20542.85797,19423.62525,8579.2512,5792.683641,274.9616438,4776.728767,64.21057312,33.41199903,30.62490187,95.65797966,289.8341967,4980.948415,14.28859488,11.34165549,852.0097495,7.758474423,285.4676636,2.708945566,6.201846041,4.704713474
2020,2.168,21060.47361,16457.7049,18185.90968,17183.31935,7419.413104,4793.064719,207.8415301,4763,41.83834646,32.97239144,29.94848974,88.53560487,267.0986944,4420.60685,10.72786414,9.202253645,831.4514347,7.543455808,282.7804949,2.673588121,6.651186628,5.289230454
2021,3.008,23315.08056,16585.24932,19782.01532,18684.48255,8084.120792,5232.146337,312.5475392,5055.66788,70.91189723,33.63131475,29.76182809,92.97165858,279.8854786,4701.10576,11.64760951,10.57157302,819.1068421,7.404258502,257.690102,2.427450294,7.479600792,5.99683184
